Trial 15,
coherence,0.0
dot_positions,"{911: [(582.8551825765906, 314.6014526351317), (908.6863878065627, 396.4621045518786), (644.0567930669724, 436.20952211600576), (877.0767792388556, 613.3808430600799), (911.7313905157087, 327.623018794092), (775.6220289548341, 474.295122114748), (880.5765369742185, 479.96682897766465), (640.5819416421828, 319.53293917582073), (534.4163785562259, 500.52228405277253), (714.1553667136031, 551.7246162950337), (556.8518013012817, 483.8212916360651), (823.4919086466954, 312.4311243767367), (734.4470084066033, 341.0458217330993), (539.2416704724417, 615.5459563907157), (733.6858039041454, 462.7137884128387), (794.2800508928955, 505.2628385661441), (576.8659671571968, 592.1005415685768), (756.7640437772557, 393.424745834193), (530.5494293706273, 386.0042047974135), (710.9703341847694, 581.6774980438634), (632.3051747185787, 599.7809330951006), (570.2192376912649, 503.23371071054856), (844.2797493684699, 493.03400070105897), (578.3445573512267, 600.4057237999427), (588.2959608290163, 621.749419060933), (808.3950122176035, 283.85906334530387), (638.5584023850101, 441.13014845646165), (864.3610599027646, 253.78665656013973), (798.4796098170837, 399.34748493015576), (694.511669784697, 635.6274891965938), (599.8488057000047, 509.57351608782744), (640.4780426201202, 365.37123175844744), (780.7627842594045, 581.755311680947), (709.0809661635312, 316.27120077514087), (572.9445328467193, 385.9219426454292)]}"
cursor_positions,"{920: (660, 891), 934: (660, 891), 948: (660, 891), 963: (660, 891), 976: (660, 891), 990: (660, 891), 1005: (660, 891), 1018: (660, 891), 1032: (660, 891), 1046: (660, 891), 1060: (660, 891), 1073: (660, 891), 1087: (660, 891), 1102: (660, 891), 1116: (660, 891), 1129: (660, 891), 1143: (660, 891), 1156: (660, 891), 1170: (660, 891), 1185: (660, 891), 1199: (660, 891), 1213: (660, 891), 1228: (660, 891), 1243: (660, 891), 1256: (660, 891), 1270: (660, 891), 1284: (660, 891), 1298: (660, 891), 1312: (660, 891), 1326: (660, 891), 1339: (660, 891), 1354: (660, 891), 1367: (660, 891), 1381: (660, 891), 1396: (660, 891), 1410: (660, 891), 1425: (660, 891), 1438: (660, 891), 1452: (660, 891), 1466: (660, 891), 1480: (660, 891), 1494: (660, 891), 1508: (660, 891), 1523: (660, 891), 1536: (660, 891), 1550: (660, 891), 1562: (660, 891), 1576: (660, 891), 1590: (660, 891), 1604: (660, 891), 1617: (660, 891)}"
target_selected,0
is_right,1
start_time,63929
stimulus_start_time,905
stimulus_end_time,920
movement_end_time,1632
feedback_end_time,1834
trial_end_time,2836
is_correct,0
