Trial 0,
coherence,0.064
dot_positions,{}
cursor_positions,{}
end_time,0
target_selected,0
is_right,1
is_correct,0
Trial 1,
coherence,0.512
