Trial 1,
coherence,0.064
dot_positions,{}
Trial 2,
coherence,0.0
dot_positions,{}
Trial 3,
coherence,0.032
dot_positions,{}
Trial 4,
coherence,0.0
dot_positions,{}
Trial 5,
coherence,0.128
dot_positions,{}
